Rawfilenumber	Sample	Protease	run	replicate
EH3713	65	Tryp	run1	1
EH3714	65	Tryp	run1	2
EH3715	65	Tryp	run1	3
EH3719	66	Tryp	run1	1
EH3720	66	Tryp	run1	2
EH3721	66	Tryp	run1	3
EH3725	67	Tryp	run1	1
EH3726	67	Tryp	run1	2
EH3727	67	Tryp	run1	3
EH3728	68	Tryp	run1	1
EH3729	68	Tryp	run1	2
EH3730	68	Tryp	run1	3
EH3734	69	Tryp	run1	1
EH3735	69	Tryp	run1	2
EH3736	69	Tryp	run1	3
EH3740	70	Tryp	run1	1
EH3741	70	Tryp	run1	2
EH3742	70	Tryp	run1	3
EH3746	1	Ct	run1	1
EH3747	1	Ct	run1	2
EH3748	1	Ct	run1	3
EH3750	2	Ct	run1	1
EH3751	2	Ct	run1	2
EH3752	2	Ct	run1	3
EH3754	3	Ct	run1	1
EH3755	3	Ct	run1	2
EH3756	3	Ct	run1	3
EH3758	4	Ct	run1	1
EH3759	4	Ct	run1	2
EH3760	4	Ct	run1	3
EH3762	5	Ct	run1	1
EH3763	5	Ct	run1	2
EH3764	5	Ct	run1	3
EH3768	6	Ct	run1	1
EH3769	6	Ct	run1	2
EH3770	6	Ct	run1	3
EH3772	7	Ct	run1	1
EH3773	7	Ct	run1	2
EH3774	7	Ct	run1	3
EH3776	8	Ct	run1	1
EH3777	8	Ct	run1	2
EH3778	8	Ct	run1	3
EH3780	9	Ct	run1	1
EH3781	9	Ct	run1	2
EH3782	9	Ct	run1	3
EH3784	10	Ct	run1	1
EH3785	10	Ct	run1	2
EH3786	10	Ct	run1	3
EH3790	11	Ct	run1	1
EH3791	11	Ct	run1	2
EH3792	11	Ct	run1	3
EH3794	12	Ct	run1	1
EH3795	12	Ct	run1	2
EH3796	12	Ct	run1	3
EH3798	13	Ct	run1	1
EH3799	13	Ct	run1	2
EH3800	13	Ct	run1	3
EH3802	14	Ct	run1	1
EH3803	14	Ct	run1	2
EH3804	14	Ct	run1	3
EH3806	15	Ct	run1	1
EH3807	15	Ct	run1	2
EH3808	15	Ct	run1	3
EH3810	16	Ct	run1	1
EH3811	16	Ct	run1	2
EH3812	16	Ct	run1	3
EH3816	17	Ct	run1	1
EH3817	17	Ct	run1	2
EH3818	17	Ct	run1	3
EH3820	18	Ct	run1	1
EH3821	18	Ct	run1	2
EH3822	18	Ct	run1	3
EH3824	19	Ct	run1	1
EH3825	19	Ct	run1	2
EH3826	19	Ct	run1	3
EH3828	20	Ct	run1	1
EH3829	20	Ct	run1	2
EH3830	20	Ct	run1	3
EH3832	21	Ct	run1	1
EH3833	21	Ct	run1	2
EH3834	21	Ct	run1	3
EH3838	22	Ct	run1	1
EH3839	22	Ct	run1	2
EH3840	22	Ct	run1	3
EH3842	23	Ct	run1	1
EH3843	23	Ct	run1	2
EH3844	23	Ct	run1	3
EH3846	24	Ct	run1	1
