Rawfilenumber	Sample	Protease	run	replicate
EH3593	39	Tryp	run1	2
EH3594	39	Tryp	run1	3
EH3595	blank	Tryp	run1	NA
EH3596	blank	Tryp	run1	NA
EH3597	blank	Tryp	run1	NA
EH3598	40	Tryp	run1	1
EH3599	40	Tryp	run1	2
EH3600	40	Tryp	run1	3
EH3601	41	Tryp	run1	1
EH3602	41	Tryp	run1	2
EH3603	41	Tryp	run1	3
EH3604	42	Tryp	run1	1
EH3605	42	Tryp	run1	2
EH3606	42	Tryp	run1	3
EH3607	43	Tryp	run1	1
EH3608	43	Tryp	run1	2
EH3609	43	Tryp	run1	3
EH3610	blank	Tryp	run1	NA
EH3611	blank	Tryp	run1	NA
EH3612	blank	Tryp	run1	NA
EH3613	44	Tryp	run1	1
EH3614	44	Tryp	run1	2
EH3615	44	Tryp	run1	3
EH3616	45	Tryp	run1	1
EH3617	45	Tryp	run1	2
EH3618	45	Tryp	run1	3
EH3619	46	Tryp	run1	1
EH3620	46	Tryp	run1	2
EH3621	46	Tryp	run1	3
EH3622	47	Tryp	run1	1
EH3623	47	Tryp	run1	2
EH3624	47	Tryp	run1	3
EH3625	blank	Tryp	run1	NA
EH3626	blank	Tryp	run1	NA
EH3627	blank	Tryp	run1	NA
EH3628	48	Tryp	run1	1
EH3629	blank	Tryp	run1	NA
EH3630	blank	Tryp	run1	NA
EH3631	blank	Tryp	run1	NA
EH3632	49	Tryp	run1	1
EH3633	49	Tryp	run1	2
EH3634	49	Tryp	run1	3
EH3635	blank	Tryp	run1	NA
EH3636	blank	Tryp	run1	NA
EH3637	blank	Tryp	run1	NA
EH3638	50	Tryp	run1	1
EH3639	50	Tryp	run1	2
EH3640	50	Tryp	run1	3
EH3641	blank	Tryp	run1	NA
EH3642	blank	Tryp	run1	NA
EH3643	blank	Tryp	run1	NA
EH3644	51	Tryp	run1	1
EH3645	51	Tryp	run1	2
EH3646	51	Tryp	run1	3
EH3647	blank	Tryp	run1	NA
EH3648	blank	Tryp	run1	NA
EH3649	blank	Tryp	run1	NA
EH3650	52	Tryp	run1	1
EH3651	52	Tryp	run1	2
EH3652	52	Tryp	run1	3
EH3653	blank	Tryp	run1	NA
EH3654	blank	Tryp	run1	NA
EH3655	blank	Tryp	run1	NA
EH3656	53	Tryp	run1	1
EH3657	53	Tryp	run1	2
EH3658	53	Tryp	run1	3
EH3659	blank	Tryp	run1	NA
EH3660	blank	Tryp	run1	NA
EH3661	blank	Tryp	run1	NA
EH3662	54	Tryp	run1	1
EH3663	54	Tryp	run1	2
EH3664	54	Tryp	run1	3
EH3665	blank	Tryp	run1	NA
EH3666	blank	Tryp	run1	NA
EH3667	blank	Tryp	run1	NA
EH3668	55	Tryp	run1	1
EH3669	55	Tryp	run1	2
EH3670	55	Tryp	run1	3
EH3671	56	Tryp	run1	1
EH3672	56	Tryp	run1	2
EH3673	56	Tryp	run1	3
EH3674	57	Tryp	run1	1
EH3675	57	Tryp	run1	2
EH3676	57	Tryp	run1	3
EH3677	58	Tryp	run1	1
EH3678	58	Tryp	run1	2
EH3679	58	Tryp	run1	3
EH3680	blank	Tryp	run1	NA
EH3681	blank	Tryp	run1	NA
EH3682	blank	Tryp	run1	NA
EH3683	59	Tryp	run1	1
EH3684	59	Tryp	run1	2
EH3685	59	Tryp	run1	3
EH3686	blank	Tryp	run1	NA
EH3687	blank	Tryp	run1	NA
EH3688	blank	Tryp	run1	NA
EH3689	61	Tryp	run1	1
EH3690	61	Tryp	run1	2
EH3691	61	Tryp	run1	3
EH3692	blank	Tryp	run1	NA
EH3693	blank	Tryp	run1	NA
EH3694	blank	Tryp	run1	NA
EH3695	62	Tryp	run1	1
EH3696	62	Tryp	run1	2
EH3697	62	Tryp	run1	3
EH3698	blank	Tryp	run1	NA
EH3699	blank	Tryp	run1	NA
EH3700	blank	Tryp	run1	NA
EH3701	63	Tryp	run1	1
EH3702	63	Tryp	run1	2
EH3703	63	Tryp	run1	3
EH3704	blank	Tryp	run1	NA
EH3705	blank	Tryp	run1	NA
EH3706	blank	Tryp	run1	NA
EH3707	64	Tryp	run1	1
EH3708	64	Tryp	run1	2
EH3709	64	Tryp	run1	3
EH3710	blank	Tryp	run1	NA
EH3711	blank	Tryp	run1	NA
EH3712	blank	Tryp	run1	NA
EH3713	65	Tryp	run1	1
EH3714	65	Tryp	run1	2
EH3715	65	Tryp	run1	3
EH3716	blank	Tryp	run1	NA
EH3717	blank	Tryp	run1	NA
EH3718	blank	Tryp	run1	NA
EH3719	66	Tryp	run1	1
EH3720	66	Tryp	run1	2
EH3721	66	Tryp	run1	3
EH3722	blank	Tryp	run1	NA
EH3723	blank	Tryp	run1	NA
EH3724	blank	Tryp	run1	NA
EH3725	67	Tryp	run1	1
EH3726	67	Tryp	run1	2
EH3727	67	Tryp	run1	3
EH3728	68	Tryp	run1	1
EH3729	68	Tryp	run1	2
EH3730	68	Tryp	run1	3
EH3731	blank	Tryp	run1	NA
EH3732	blank	Tryp	run1	NA
EH3733	blank	Tryp	run1	NA
EH3734	69	Tryp	run1	1
EH3735	69	Tryp	run1	2
EH3736	69	Tryp	run1	3
EH3737	blank	Tryp	run1	NA
EH3738	blank	Tryp	run1	NA
EH3739	blank	Tryp	run1	NA
EH3740	70	Tryp	run1	1
EH3741	70	Tryp	run1	2
EH3742	70	Tryp	run1	3
EH3746	1	Ct	run1	1
EH3747	1	Ct	run1	2
EH3748	1	Ct	run1	3
EH3749	blank	Ct	run1	NA
EH3750	2	Ct	run1	1
EH3751	2	Ct	run1	2
EH3752	2	Ct	run1	3
EH3753	blank	Ct	run1	NA
EH3754	3	Ct	run1	1
EH3755	3	Ct	run1	2
EH3756	3	Ct	run1	3
EH3757	blank	Ct	run1	NA
EH3758	4	Ct	run1	1
EH3759	4	Ct	run1	2
EH3760	4	Ct	run1	3
EH3761	blank	Ct	run1	NA
EH3762	5	Ct	run1	1
EH3763	5	Ct	run1	2
EH3764	5	Ct	run1	3
EH3765	blank	Ct	run1	NA
EH3766	blank	Ct	run1	NA
EH3767	blank	Ct	run1	NA
EH3768	6	Ct	run1	1
EH3769	6	Ct	run1	2
EH3770	6	Ct	run1	3
EH3771	blank	Ct	run1	NA
EH3772	7	Ct	run1	1
EH3773	7	Ct	run1	2
EH3774	7	Ct	run1	3
EH3775	blank	Ct	run1	NA
EH3776	8	Ct	run1	1
EH3777	8	Ct	run1	2
EH3778	8	Ct	run1	3
EH3779	blank	Ct	run1	NA
EH3780	9	Ct	run1	1
EH3781	9	Ct	run1	2
EH3782	9	Ct	run1	3
EH3783	blank	Ct	run1	NA
EH3784	10	Ct	run1	1
EH3785	10	Ct	run1	2
EH3786	10	Ct	run1	3
EH3787	blank	Ct	run1	NA
EH3788	blank	Ct	run1	NA
EH3789	blank	Ct	run1	NA
EH3790	11	Ct	run1	1
EH3791	11	Ct	run1	2
EH3792	11	Ct	run1	3
EH3793	blank	Ct	run1	NA
EH3794	12	Ct	run1	1
EH3795	12	Ct	run1	2
EH3796	12	Ct	run1	3
EH3797	blank	Ct	run1	NA
EH3798	13	Ct	run1	1
EH3799	13	Ct	run1	2
EH3800	13	Ct	run1	3
EH3801	blank	Ct	run1	NA
EH3802	14	Ct	run1	1
EH3803	14	Ct	run1	2
EH3804	14	Ct	run1	3
EH3805	blank	Ct	run1	NA
EH3806	15	Ct	run1	1
EH3807	15	Ct	run1	2
EH3808	15	Ct	run1	3
EH3809	blank	Ct	run1	NA
EH3810	16	Ct	run1	1
EH3811	16	Ct	run1	2
EH3812	16	Ct	run1	3
EH3813	blank	Ct	run1	NA
EH3814	blank	Ct	run1	NA
EH3815	blank	Ct	run1	NA
EH3816	17	Ct	run1	1
EH3817	17	Ct	run1	2
EH3818	17	Ct	run1	3
EH3819	blank	Ct	run1	NA
EH3820	18	Ct	run1	1
EH3821	18	Ct	run1	2
EH3822	18	Ct	run1	3
EH3823	blank	Ct	run1	NA
EH3824	19	Ct	run1	1
EH3825	19	Ct	run1	2
EH3826	19	Ct	run1	3
EH3827	blank	Ct	run1	NA
EH3828	20	Ct	run1	1
EH3829	20	Ct	run1	2
EH3830	20	Ct	run1	3
EH3831	blank	Ct	run1	NA
EH3832	21	Ct	run1	1
EH3833	21	Ct	run1	2
EH3834	21	Ct	run1	3
EH3835	blank	Ct	run1	NA
EH3836	blank	Ct	run1	NA
EH3837	blank	Ct	run1	NA
EH3838	22	Ct	run1	1
EH3839	22	Ct	run1	2
EH3840	22	Ct	run1	3
EH3841	blank	Ct	run1	NA
EH3842	23	Ct	run1	1
EH3843	23	Ct	run1	2
EH3844	23	Ct	run1	3
EH3845	blank	Ct	run1	NA
EH3846	24	Ct	run1	1
EH3847	24	Ct	run1	2
EH3848	24	Ct	run1	3
EH3849	blank	Ct	run1	NA
EH3850	25	Ct	run1	1
EH3851	25	Ct	run1	2
EH3852	25	Ct	run1	3
EH3853	blank	Ct	run1	NA
EH3854	blank	Ct	run1	NA
EH3855	blank	Ct	run1	NA
EH3856	26	Ct	run1	1
EH3857	26	Ct	run1	2
EH3858	26	Ct	run1	3
EH3859	blank	Ct	run1	NA
EH3860	blank	Ct	run1	NA
EH3861	blank	Ct	run1	NA
EH3862	27	Ct	run1	1
EH3863	27	Ct	run1	2
EH3864	27	Ct	run1	3
EH3865	blank	Ct	run1	NA
EH3866	blank	Ct	run1	NA
EH3867	blank	Ct	run1	NA
EH3868	28	Ct	run1	1
EH3869	28	Ct	run1	2
EH3870	28	Ct	run1	3
EH3871	blank	Ct	run1	NA
EH3872	blank	Ct	run1	NA
EH3873	blank	Ct	run1	NA
EH3874	29	Ct	run1	1
EH3875	29	Ct	run1	2
EH3876	29	Ct	run1	3
EH3877	blank	Ct	run1	NA
EH3878	blank	Ct	run1	NA
EH3879	blank	Ct	run1	NA
EH3880	30	Ct	run1	1
EH3881	30	Ct	run1	2
EH3882	30	Ct	run1	3
EH3883	blank	Ct	run1	NA
EH3884	blank	Ct	run1	NA
EH3885	blank	Ct	run1	NA
EH3886	31	Ct	run1	1
EH3887	31	Ct	run1	2
EH3888	31	Ct	run1	3
EH3889	blank	Ct	run1	NA
EH3890	blank	Ct	run1	NA
EH3891	blank	Ct	run1	NA
EH3892	32	Ct	run1	1
EH3893	32	Ct	run1	2
EH3894	32	Ct	run1	3
EH3895	blank	Ct	run1	NA
EH3896	blank	Ct	run1	NA
EH3897	blank	Ct	run1	NA
EH3898	33	Ct	run1	1
EH3899	33	Ct	run1	2
EH3900	33	Ct	run1	3
EH3901	blank	Ct	run1	NA
EH3902	blank	Ct	run1	NA
EH3903	blank	Ct	run1	NA
EH3904	34	Ct	run1	1
EH3905	34	Ct	run1	2
EH3906	34	Ct	run1	3
EH3907	blank	Ct	run1	NA
EH3908	blank	Ct	run1	NA
EH3909	blank	Ct	run1	NA
EH3910	35	Ct	run1	1
EH3911	35	Ct	run1	2
EH3912	35	Ct	run1	3
EH3913	blank	Ct	run1	NA
EH3914	blank	Ct	run1	NA
EH3915	blank	Ct	run1	NA
EH3916	36	Ct	run1	1
EH3917	36	Ct	run1	2
EH3918	36	Ct	run1	3
EH3919	37	Ct	run1	1
EH3920	37	Ct	run1	2
EH3921	37	Ct	run1	3
EH3922	38	Ct	run1	1
EH3923	38	Ct	run1	2
EH3924	38	Ct	run1	3
EH3925	39	Ct	run1	1
EH3926	39	Ct	run1	2
EH3927	39	Ct	run1	3
